Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,type
15,9.3,0,0.016047301,4,249.8092,49,1999,1,0,1,3735.138,Train
01,5.92,1,0.019278216,14,48.2692,18,2009,1,2,2,443.4228,Train
15,17.5,0,0.016760075,10,141.618,49,1999,1,0,1,2097.27,Train
07,19.2,1,0.017834337888888892,6,182.095,10,1998,2,2,0,732.38,Train
19,8.93,0,0.009779828555555557,9,53.8614,13,1987,0,2,1,994.7052,Train
36,10.395,1,0.057058688875,0,51.4008,18,2009,1,2,2,556.6088,Train
10,13.65,1,0.012741088999999999,13,57.6588,13,1987,0,2,1,343.5528,Train
10,19.0,0,0.127469857,13,107.7622,27,1985,1,2,3,4022.7636,Train
17,16.2,1,0.016687114,5,96.9726,45,2002,2,1,1,1076.5986,Train
28,19.2,1,0.09444959,5,187.8214,17,2007,2,1,1,4710.535,Train
07,11.8,0,0.040626524444444444,6,45.5402,49,1999,1,0,1,1516.0266,Train
03,18.5,1,0.045463773,4,144.1102,46,1997,2,0,1,2187.153,Train
32,15.1,1,0.1000135,6,145.4786,49,1999,1,0,1,1589.2646,Train
46,17.6,1,0.047257328,13,119.6782,46,1997,2,0,1,2145.2076,Train
32,16.35,0,0.06802430000000001,6,196.4426,13,1987,0,2,1,1977.4260000000002,Train
49,9.0,1,0.06908896099999999,2,56.3614,46,1997,2,0,1,1547.3192,Train
42,11.8,0,0.008596051,8,115.3492,18,2009,1,2,2,1621.8888,Train
49,9.0,1,0.06919637599999999,2,54.3614,49,1999,1,0,1,718.3982,Train
11,8.26,0,0.034237682,7,113.2834,27,1985,1,2,3,2303.6679999999997,Train
02,13.35,0,0.10249212,4,230.5352,35,2004,2,1,1,2748.4224,Train
22,18.85,1,0.138190277,13,250.8724,13,1987,0,2,1,3775.086,Train
12,8.315,1,0.035399923,0,144.5444,27,1985,1,2,3,4064.0432,Train
30,14.6,0,0.025698133999999997,9,196.5084,35,2004,2,1,1,1587.2672,Train
37,15.5,0,0.057556998,0,107.6938,19,1985,2,0,0,214.3876,Train
28,13.85,1,0.025896485,5,165.021,46,1997,2,0,1,4078.025,Train
06,13.0,0,0.099887103,9,45.906000000000006,17,2007,2,1,1,838.908,Train
10,7.645,1,0.06669343700000001,13,42.3112,35,2004,2,1,1,1065.28,Train
59,11.65,0,0.019356131999999998,7,39.1164,13,1987,0,2,1,308.9312,Train
51,5.925,1,0.161466534,4,45.5086,10,1998,2,2,0,178.4344,Train
14,14.5,1,0.072221801,3,43.6454,19,1985,2,0,0,125.8362,Train
38,19.25,0,0.17034855100000001,4,55.7956,10,1998,2,2,0,163.7868,Train
17,18.6,0,0.080829372,8,96.4436,18,2009,1,2,2,2741.7644,Train
33,18.7,0,0.0930934742,13,256.6672,18,2009,1,2,2,3068.0064,Train
23,17.85,0,0.14246229066666669,1,93.1436,45,2002,2,1,1,2174.5028,Train
01,17.5,0,0.097904029,14,174.8738,46,1997,2,0,1,2085.2856,Train
29,10.0,0,0.08929113699999999,8,146.7102,49,1999,1,0,1,3791.0652,Train
20,20.2,1,0.059511812000000004,6,128.0678,27,1985,1,2,3,2797.6916,Train
11,8.85,1,0.113123893,14,122.5388,18,2009,1,2,2,1609.9044,Train
