Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
58,49,2094.924054481962
14,17,914.0620446335486
55,10,2353.8500996471053
58,17,2075.2458332480055
38,27,5102.470418637129
56,46,2044.970145798506
48,18,1309.965681219504
48,27,2839.939705719122
33,45,1496.9089249158005
36,17,2528.5548897728013
44,17,1335.403882046839
56,45,1382.5222129550702
54,19,2465.9440940278764
11,49,2074.251645554187
59,13,672.7529637423338
24,49,2652.7127437072627
57,45,3206.024864016786
12,18,3392.621943341517
42,27,3241.458394316979
46,10,1439.3117381740074
31,13,2382.358338432378
31,35,3400.0729047136438
52,46,885.5355711663813
19,19,1021.9067771607495
10,35,2612.041533579587
22,10,1892.9590800785752
19,35,577.6295844124841
6,46,2471.0799687275726
27,46,3882.6953936373347
21,35,1678.5724897268951
42,19,-668.1861868294061
51,18,3656.9693820501325
6,18,1092.9036537301686
31,27,4953.492039207151
59,17,2123.541283736426
3,27,4678.276951881159
49,27,2741.3430601284954
48,10,425.3351086588664
18,17,2414.531570292951
43,27,3161.4395754659427
54,18,2784.7655522648547
19,10,330.5981631611155
54,17,2133.1519972071424
19,18,2714.057446657018
23,10,1940.1802746238366
26,13,1365.5025337695015
14,10,-932.9035413982299
41,35,2738.5891920962695
41,35,3645.1679245080104
34,46,2002.3641006867688
11,46,886.6615355449533
3,13,1199.2588221571655
31,17,2414.8944417775647
20,17,1379.9839932055247
44,27,4525.117682140856
2,49,3189.1853766899985
9,13,2382.7681494973167
4,13,162.47246451079286
58,19,2957.0614308359427
52,45,1608.6805531379596
12,35,2143.294842619216
51,17,3000.6747441778534
42,27,3752.546700605956
7,17,909.9689366445584
40,45,2406.8958770284794
35,27,2916.166886094518
22,17,2026.132897991271
6,46,4066.6066180597672
35,13,2572.517433893706
42,45,3511.6232604243187
6,49,3045.4258487497773
37,27,3197.7457995232226
14,18,2377.878060677065
49,49,4131.672645377267
6,45,3974.8292222476357
36,45,2823.2724970968243
21,19,378.87286968841113
53,46,2358.0824729683013
47,19,2528.5766195210017
14,13,1918.9710082028373
24,35,2235.7045209303965
21,18,2112.1699909392682
29,46,1629.9731635610783
58,13,2849.6210357128616
27,17,2313.3401371643213
56,35,1745.898085238337
59,46,3829.9201299611686
23,46,3687.6340052285723
49,45,704.4489984992349
3,10,2030.4275758562765
39,45,2703.955867601454
2,27,4835.103268860908
16,27,3101.246627968284
35,18,1989.6469378742208
29,13,1609.2583058648293
27,46,883.0145522710388
57,17,1780.7076819329045
3,18,2697.70593889718
36,45,3003.036870156763
5,13,900.3910775694219
39,18,2954.961781686569
60,17,1138.7099541213347
25,17,2236.5366068051417
12,46,2067.3099439382927
1,19,1570.5794288295085
43,27,5349.472076854701
13,19,2594.619517625076
22,49,1141.612417795122
3,27,2166.2165216232056
14,18,4313.246809895826
33,10,1100.6252473418947
27,46,2953.8016586406397
38,10,-297.1621191484139
28,27,5019.785596535824
27,35,1212.9637628238265
23,27,3148.7860176351915
28,46,976.675175605538
24,13,1214.11580392732
2,35,1348.5888062436156
46,45,1893.7457229155875
60,27,4368.548203455192
6,17,-130.34110946640317
16,35,1183.0296978619504
60,49,1721.037230765975
48,18,3859.625931371615
36,27,4431.4976760011705
27,45,1963.5559456563647
23,18,1003.3135234032784
14,18,2170.469608602056
14,13,1418.57665872599
60,18,3441.5809835073424
21,13,1553.637386074231
42,35,1630.63353126823
59,10,147.68925493191864
49,49,1411.4497311829705
28,19,1082.2781271649835
22,18,1061.17980515597
60,49,1462.3622571545175
50,19,95.94163870868351
24,13,2015.3115104223252
48,10,1586.0670068962497
47,46,623.2943847082036
36,49,1803.5945991743688
6,35,1758.4868829411157
52,35,1414.826498120096
54,45,2096.3911584270463
31,35,2232.4500589005634
8,27,4262.859119485798
7,17,1127.9339263890388
19,27,2313.481305953928
46,49,2160.695824332483
20,45,3859.9662278064334
6,10,1270.956170129207
11,35,3813.9104383489994
7,18,2783.3638521347507
23,13,1612.0391234225708
49,18,1371.3796099091114
35,49,1234.9394574446965
39,45,1361.6880664990167
39,49,1151.7742242944541
4,17,1825.62338621955
14,35,2577.108291172348
8,13,3308.973830821572
20,46,2907.2038997026934
40,49,1532.204568869658
48,10,258.6693325691406
24,27,2849.0785279980196
44,49,2936.6817368330017
48,45,2480.329890569729
26,10,1545.4495788673787
23,45,3009.1406727158796
54,17,2081.8497701764695
14,10,2.421614529845556
60,10,-679.0299294566964
24,17,1798.6973812532929
8,18,3995.416752410791
12,27,3228.531170403907
39,27,4246.855929003409
12,27,2047.010695083639
60,27,5232.667076198323
9,35,1477.6694601971762
50,18,3528.3867822232146
28,35,3713.436633367056
19,17,291.3760525711616
53,10,284.6674273406602
18,49,1906.6662327648328
32,35,2935.450992775127
11,13,3496.846752192565
59,49,3895.8307320622826
54,35,2529.879994111282
44,46,1743.0467821777338
57,18,4255.174582840165
24,46,2365.3314100870593
50,19,2493.5485655038874
9,35,596.4506990909124
31,27,3914.9972878687004
7,19,2069.031193014518
22,17,2422.739163044228
56,46,2845.05084968682
40,19,-334.05858874992214
46,27,3410.1902584122126
24,45,2227.0056520997596
45,17,2514.6695765332825
26,45,2419.8719087437594
56,18,2516.0808227746647
27,46,1925.4294390475402
20,49,4080.1804643478245
16,17,823.5769664828283
3,35,2896.0161972542473
58,46,1990.0559069069723
2,27,3089.7112753169295
55,19,-582.5995117388204
3,18,3682.0935803474963
14,17,897.4538066799657
45,13,3556.6483772566316
7,17,1485.4087087109028
51,19,542.1979566074558
52,27,5416.198466966153
26,46,2448.2005680438874
42,46,3904.444791948141
47,19,1156.8380953839348
40,13,1947.6499135826016
34,46,2805.0025684120897
1,35,2587.54033389874
55,45,1940.5800672930063
11,35,1010.2675879359939
35,18,4027.5980883250504
6,46,2459.5799165532726
9,19,2664.4216140739627
53,17,1170.8153127053047
45,13,3783.2011330607
22,10,1048.2548257407086
2,35,1155.0693845951268
21,45,1700.9125402506197
34,46,1358.7957488454576
59,49,2146.7646600856287
17,17,1509.1728036620793
54,46,2021.2322325916643
17,19,2627.9128946513965
35,17,2340.5487822595405
8,10,-909.3033732461911
7,17,2790.7609789448265
10,10,560.2215444223805
36,17,1162.3547786092267
21,10,247.58717391067216
19,17,1332.3125232636098
3,13,408.7640485563377
55,49,934.3516638348453
52,10,-322.81483087701804
9,17,3524.3232015018893
43,45,3855.897459254279
9,10,1152.848346152102
40,19,84.7553350797532
58,17,1287.147611191113
47,17,3013.1140346586126
41,35,1399.6603687937459
49,35,3700.5670015941096
52,27,4027.209721123646
13,46,1228.4555365650458
35,13,543.4349258917402
35,17,2372.0390606931032
18,49,2428.929371189077
33,18,2918.2349259898388
15,27,3686.6674805385046
1,49,3203.0666231974537
42,46,2813.6052623255364
29,18,3254.4114878117434
30,17,2396.292788417766
46,49,1999.4286251194635
58,27,3952.303114925977
33,17,2897.0938915248394
7,45,1757.6833645482934
29,27,3653.3712702272605
42,13,2118.9166697130768
59,35,642.5410022018793
44,35,1059.4033832525806
45,49,2942.228808441625
31,45,964.6856418923273
1,46,1687.7158969536895
9,18,2557.3103389681896
3,27,2866.4913125623493
36,18,3455.734114620933
31,17,1913.1978210867428
14,49,2649.1092417839386
28,27,5344.646653036524
14,49,4142.160002336969
47,19,921.9360095768332
56,49,1716.1193829595259
1,13,552.7105741011421
22,46,979.8265253283395
33,13,291.95776759575597
24,13,1508.1973266664613
38,46,1798.78068973287
16,27,2779.7501505557116
7,27,3698.3074610202684
7,13,2639.170800282843
48,45,2150.8244839780136
43,45,2689.605857946824
31,10,855.888042325904
49,18,1165.9326376363588
30,10,2317.3307644854453
60,17,2450.032323981609
19,46,3575.4220045812717
12,35,1392.8132784110785
32,35,1324.1380762114782
27,35,2182.265777644301
53,27,4134.735905076128
18,46,1472.377312138292
10,13,2463.7525130563927
33,27,3968.2007566213033
12,13,1010.591495331029
42,13,3200.7422652981195
6,18,2402.305518449336
2,17,1478.8380847766011
43,17,1237.96389277642
57,18,1852.5150600409718
58,17,3224.9215929802294
56,46,2952.3188739037187
52,45,3754.6342603941694
20,18,2381.477597104171
52,49,1980.8108892290788
29,18,2295.3828121839833
54,13,2512.554454007576
5,45,3039.456426407999
34,35,3039.373889825977
3,27,3358.114241530986
32,10,-84.06180731541895
10,45,1953.0606896417698
40,35,748.9606189636154
51,18,1110.3842875489486
30,19,1611.3488420839365
58,17,2884.5089115986216
49,17,3742.3627780344823
24,19,-567.4769382994589
55,17,1212.000866694847
13,17,1380.7000799623647
51,17,578.1882860730582
26,45,1539.3647528322585
54,27,3554.0638353215145
32,17,2572.4524026678373
31,18,3372.4957627858407
48,17,45.48198907964775
20,49,2906.494419354992
1,46,3631.9954772041183
56,49,2142.8658512443963
13,27,3114.2906453884398
3,17,1767.3238127376462
47,27,4921.54243614148
32,46,2368.61383511054
57,49,1922.9410687771947
30,45,2889.102660628777
49,13,652.3324445912588
4,19,162.9122108048366
48,35,396.38356461382887
16,13,2984.072154141786
19,18,3355.3603341115377
42,45,3791.6342445680775
24,17,316.43375355572584
19,49,2989.2057260008155
46,13,2485.9345067524564
45,10,1911.3948833680868
8,35,1858.4600635709535
37,35,1337.0902179348473
30,45,734.873685010725
23,18,1055.5145097881777
30,18,2384.5972366699816
44,18,2091.7629238586615
45,35,1567.135733453812
4,13,2256.915836056204
27,46,2467.8427026310783
43,17,3376.0056516421682
39,19,1301.5530185330147
6,19,707.7568550877461
15,27,3800.166927480597
57,17,3650.1860679451656
8,46,1590.078774038369
40,17,3715.0371244460575
12,10,2085.8199785689035
48,17,1972.9154042427026
9,45,3283.0583675949833
21,49,1911.7592980640616
25,35,2685.832788080424
13,17,827.3260963764599
43,19,-595.3010959185706
22,45,1679.2954746637392
46,19,-9.58258929281078
30,10,1487.2696753930738
25,46,2833.450064432354
41,49,2219.565916146414
24,45,1419.986600182645
50,46,3041.4111483474885
45,13,3775.124084561504
54,45,2074.653076223772
10,19,1365.2570203488547
20,17,1483.0022392177443
32,46,2509.8934352112115
52,49,1667.813800154595
58,45,1897.8246561834462
46,27,3210.117662902743
18,18,2229.5615889019973
35,46,2029.3956361227592
31,35,656.7046771450089
40,27,3018.2637415089116
50,19,279.511611155692
6,46,2587.9029400153586
31,35,2831.355977679066
45,49,1134.0194187268744
13,45,2943.9033962576787
50,45,1483.4527672868385
18,10,671.1376025039942
54,49,3333.413325912402
18,18,3222.9239552079807
9,45,881.3379506463632
13,18,3364.4709336744245
9,46,1813.1436627706548
53,19,444.11628573374696
45,49,3591.393678447994
15,35,429.78313187258505
21,19,2376.8004793448085
14,27,4109.497583877421
9,46,1713.7499211131426
45,27,2166.2608342312947
32,46,1061.2905457689535
12,35,1784.4945042849454
32,13,2006.5155783062482
55,18,4423.034461369946
1,35,3384.0519516049244
15,49,1475.2788634584126
42,45,3931.4543643538846
31,13,630.8495429079287
33,18,1876.6800246565483
59,46,2751.3022949107353
45,10,1384.9064006826236
7,13,1550.323583713655
45,18,3486.172914525361
33,27,4822.836627883323
15,10,-185.36667804329295
46,13,1069.0405028131408
3,45,3266.1710405744475
49,18,3221.5353078944763
60,45,1978.5562474345243
10,49,2918.47660041983
51,49,1114.3662223710598
40,18,2242.6893593756286
20,18,3257.3401328611353
45,13,1602.9611658475965
2,35,2386.36862151013
9,46,3808.236480252027
55,27,4420.211542207629
23,18,2719.5934514901774
31,10,820.1568660930909
3,10,227.56071436453135
14,46,2726.0117128358647
23,17,1387.4717502960398
3,45,2733.728750922627
13,35,1204.3930964822594
45,27,2550.1802920729
46,35,1378.5345030210392
57,49,3928.568807704336
12,49,1816.7979267328997
58,13,2222.529377027317
18,17,1280.4642143642077
52,49,1376.11413645513
24,18,2804.5791163945605
43,27,4343.113403563979
18,19,1532.3576109000176
32,17,984.8902165758562
7,17,58.63111191915482
3,13,3617.447231179546
59,17,1261.7624726270287
24,49,4137.629791025911
16,18,2121.7883543001367
44,13,2329.4252959844875
28,10,-949.6781346442892
28,19,-894.4818116740623
22,45,915.1653986100371
56,46,3218.267328458259
39,49,3430.2737768657953
37,19,-24.34303766387211
11,10,2565.0917317647254
2,45,3419.4204064525347
42,18,1908.7033281684437
57,27,2972.484842011446
21,49,3883.87117929546
28,17,3046.321482078776
55,17,1481.3889428915772
48,49,3721.9029700712567
19,45,2664.290552088473
43,45,3955.2551635078316
18,46,1252.7113382279917
42,18,3002.1187156682768
45,46,4154.498769632524
30,45,2849.802167265584
57,13,1168.0282795084672
9,10,929.8611358290761
9,27,3323.3959964052847
44,35,1675.3213080620294
6,27,3950.2567464380054
26,49,3066.428188144014
32,13,2181.6179172158418
12,46,2262.827900324827
46,10,1653.142503563963
52,13,1246.2831906421507
42,45,3684.894485853726
8,35,472.1285110626866
47,18,3756.385834416907
28,10,244.04926798858082
22,46,1762.2167514862517
7,27,3112.675041500781
13,45,3393.323035006919
32,18,3751.724929334978
14,17,3388.7464542334565
28,19,-331.0787410210812
41,17,1307.787327391215
8,49,2928.937737716121
47,45,2641.8007393143653
53,19,509.5285214636108
19,35,3689.91749198218
14,45,2492.482059508159
33,19,2117.9076953068025
51,45,1779.3843903125385
27,18,1253.6082615038517
4,46,567.0060174695102
13,49,2246.0012227213106
16,27,4751.408128281023
3,27,5067.850450289148
38,35,2510.8595668232465
23,27,2158.0470044784884
11,19,1749.286014528375
9,35,2624.298881480347
40,45,1472.5017814309954
7,17,2399.2461281225014
7,35,1245.0082264408784
51,17,1278.2378256406691
59,19,2534.6061762608024
20,17,2552.5971000655645
13,45,1868.6994803494367
26,49,3623.297698231805
4,17,1514.33583655662
52,17,3085.598971012386
60,49,2766.6953912639665
9,19,1324.3366551188776
46,49,1655.4884668764716
50,19,-184.96716841720195
29,49,4229.661347404115
16,27,5248.709998118247
33,18,2935.330210449125
7,10,1504.4824754545104
22,46,3902.1549766678354
39,49,4488.706081259065
21,17,527.1688883969252
42,13,1472.9924266490198
50,19,1437.1210001594884
13,27,3714.052553222482
35,18,2994.972449620855
60,18,2096.6501421596176
49,27,3596.9169773466356
42,19,1178.361229233118
38,49,2932.6746633257953
4,49,3316.3921854066766
54,45,2542.033052009019
56,49,1248.0175941012958
15,18,4018.579579635827
58,13,2735.168255491076
21,49,3254.0241259738777
5,13,3279.472297548522
10,27,3955.659166127386
6,45,2293.534925652655
33,49,1983.423044714953
37,13,2708.032620454722
49,45,1436.810611394888
58,13,2377.609818179142
41,18,2129.592188802304
40,18,2295.842517041033
51,27,3204.0044583528643
45,10,10.608181854072882
33,10,85.23471745041684
24,45,831.4893969914308
10,10,2124.613057033219
40,35,1945.7180931037656
6,17,2262.9955837164616
12,19,1047.9561339314066
48,27,4012.539696130306
5,27,2903.361399754655
27,17,962.075781456803
37,45,3075.140488486536
38,45,3870.825415014857
36,46,707.3804534917597
45,46,3204.6189480095695
5,17,1919.9468965674341
28,13,3738.0568214495925
47,45,1427.170942872909
21,45,2460.2639093809803
20,27,3410.0260539576184
35,45,2888.1397140241625
23,13,355.677932372186
56,17,1581.1064914912981
9,13,1568.7868263373675
26,27,3240.214755008743
49,18,3028.6219391971695
52,27,3360.677027963631
44,27,3356.6071061859966
9,18,2856.9819134717573
3,49,1967.588992096436
42,17,1590.1109518422545
13,27,4832.019853205022
32,13,1756.3167128951018
16,35,1296.0389231899394
27,46,696.2818906145469
28,10,1181.9415893796834
49,10,1145.2357122799274
37,46,1956.0202556311638
26,18,3858.8730464034775
12,18,4246.74655626275
6,13,2005.9423465194727
45,10,860.3213644728601
30,49,1790.6485916827187
24,49,1003.3190018336878
41,27,2018.1906448477039
2,19,445.53900534711283
9,10,1350.074416904273
33,10,-82.65889942073295
22,45,1808.588949988351
53,13,2281.8138324114843
1,49,2841.6574077768587
32,13,1954.7260248432244
30,18,1087.6608872725178
60,45,3229.067691094303
14,49,1665.273913988823
2,35,676.1464900747067
10,17,1592.4129652792521
34,46,1898.7347896247757
18,17,855.5542356609437
16,49,1477.2807985634213
25,18,1774.987383168207
35,10,-9.528101811573151
11,13,1746.6892646278093
41,19,2471.795077281602
16,45,1366.6482852263366
50,18,3843.2284072382804
23,18,1150.5145375059892
37,13,2097.999278275897
24,27,4224.302559849275
16,35,2664.647162601215
27,45,1738.6962471322931
33,45,2278.446816881488
29,45,2183.5386695937864
8,49,2808.8580689006726
31,46,1120.3029387409929
34,19,1605.7901686098974
30,27,2571.4796643919863
33,35,3972.509711412845
24,18,2276.3724974240968
54,35,2587.591035979069
12,49,3005.383081485811
54,46,3865.350184022902
59,13,530.1817626852519
50,19,485.0991976593102
31,27,4168.058431611019
29,27,4179.828688512442
60,49,3250.5551050059457
8,17,2331.1362171523397
49,13,3306.880052027296
33,46,3622.2886846686088
35,13,467.61331612964227
36,17,1102.8011005853905
51,35,2532.3895126694815
36,46,1767.5657963465928
35,46,2652.6606494490184
30,27,3444.1188238703817
49,17,137.55048141244993
8,18,4215.721285048901
9,13,3339.553433718075
19,18,2262.931527514379
21,10,-987.863583577551
41,45,1794.16595666485
10,13,1409.7365614377459
12,18,1036.3555290356435
26,49,2101.361306313701
44,13,2391.7661683162023
28,49,1969.8904691646972
41,27,5641.66525457276
29,35,1754.4061495975288
42,19,2396.2720070703103
60,18,3202.5990220280282
2,45,2888.1690686423226
51,46,2197.5393382682932
3,13,2481.28570264878
39,45,3422.7201424815985
5,10,-989.5351350368121
6,27,5396.474023657954
32,35,1174.4882474356928
41,45,1979.093232540196
53,49,2598.609495944418
57,19,1148.039530202347
23,46,1734.8819630625458
52,45,3891.7938628800584
14,45,687.0555136596329
9,35,2564.4851113331374
28,45,2516.2722809065144
25,46,3533.0073099936963
7,35,1639.440182667423
25,49,1878.9050988617746
52,19,2273.501482874796
52,27,2582.6628357456775
28,46,3113.3349602278513
36,35,358.79313644514536
25,17,2982.403023842006
7,27,3429.395604083812
57,17,2670.5664965184933
3,18,4067.6929136142817
23,17,2149.2120100073553
41,35,3240.510383736256
6,35,431.7630264191787
8,45,1493.3245969142731
29,17,1816.1447787897168
6,13,2105.469856192369
52,10,333.37877386282435
2,17,2278.5901573333977
18,45,703.750105805557
16,49,1620.910677687065
29,10,2434.4281251107996
1,19,448.74929505922114
27,35,2212.8545493348397
17,18,4146.420520330889
39,13,2591.9228025458915
59,45,1254.7899010684891
52,13,1454.1997359740612
40,27,4547.238630255612
54,13,2511.044529950666
46,45,1763.4460851134195
14,49,1756.5889799602087
50,49,3164.3059560695156
15,10,914.447579456328
27,27,2887.6215687979093
6,49,2083.5921648446583
2,18,3529.374125536807
51,49,1161.9015435668884
7,17,2923.8812028051775
45,49,2053.2337152762325
6,45,1860.265267454458
36,35,1746.7241451056084
25,45,2893.6931599486684
52,46,2563.361592212624
47,17,3099.315111371773
30,17,1517.5797186082773
22,35,3677.00756627174
30,27,3315.2804033718494
3,35,3787.508822567177
45,17,410.0727000139939
54,27,5200.063227760821
8,18,3391.4629636870764
44,46,2729.3421267000704
39,35,718.9396313457321
32,49,2221.187557015632
27,49,3087.8942064277935
54,13,1742.5451865038485
41,49,2256.2196986751537
49,13,2010.6976084945777
5,18,1520.4434201590839
56,45,3693.2100456781254
13,13,1702.3453327689267
29,17,2353.674639186972
24,49,1690.3804509115735
34,18,3406.760519113979
37,35,1721.1331235734579
8,27,4245.362069360528
57,45,2246.6762576361702
18,49,1866.7837121137968
25,18,2985.8613987926474
53,49,1713.0130438725482
59,18,4036.928311837934
52,46,2873.7808450717635
20,10,-878.6012806003448
36,19,1410.7024900839608
24,17,2194.097231081726
28,18,3497.5158288031876
11,17,2241.6038351914276
1,46,2437.344462155016
34,27,4036.8918897398153
50,27,2384.5471836804086
44,13,1644.1587781241474
59,35,1124.7568684494086
48,45,792.1231955066967
21,18,3118.1095798341917
42,10,2313.455763383398
23,46,1391.0208407943865
30,18,3687.399277586666
22,35,432.7706052430274
1,45,1638.8639130988959
8,17,2217.454288721865
28,18,4355.748937132023
51,18,1371.6175999436132
5,17,3288.4548128280203
56,49,2249.271402084617
2,18,1695.4085188523393
45,17,2940.7833049977794
9,13,438.8567766826925
54,18,3370.682299000632
9,10,1804.935756669947
53,45,1719.4630388405121
55,17,2480.4190803641513
9,18,2956.674647456759
11,19,182.4108307257593
50,45,1525.2432793947432
23,17,2318.531067404532
22,49,2750.325488301762
23,46,3034.2849120492306
29,49,2995.5406772558895
38,46,2412.150919861012
13,46,2010.3904329972652
43,49,3129.201162816218
28,49,1726.710950607232
8,49,1644.5080475491054
33,46,2344.2557079439384
10,49,3047.071117795511
58,17,2146.619457903466
50,17,3267.9821201153163
58,45,2714.114164137795
8,13,2517.427079296468
17,10,-843.519276712974
39,35,4070.4954177193267
45,10,414.0516571343926
18,18,2084.314608687042
27,19,2572.928680280409
25,35,1168.9165288046588
59,35,2399.541104465149
28,35,2791.7503239043785
30,46,743.6357855175331
39,18,1361.195263040001
41,13,1159.65292343992
11,10,-703.8878318776458
58,45,3728.8760932187424
50,46,1986.607519723305
34,13,1727.2170626295865
44,27,3122.4830582747563
39,45,2874.532040617235
25,45,2811.3873588140386
49,49,2851.692677796426
25,18,1288.0162051648613
9,27,4060.0974952238885
44,19,1408.8437886491286
42,18,1013.3763859757673
59,46,1043.1173463312566
43,13,2355.1164180879505
47,10,2092.089830517805
48,18,2558.82613377374
12,45,705.9811420943936
43,18,2460.898671666929
55,18,3371.9065601240814
21,27,3378.451709594342
13,35,3719.843954756532
30,27,5387.6849275325
20,49,2930.6890663204977
27,17,65.2149752082862
14,18,4494.863780084851
59,35,1601.3017944131284
60,17,2306.811532043188
18,19,1090.0259224395156
39,17,2965.9941501969683
7,49,1901.2621401329384
8,27,4912.974648944675
51,45,1989.9761536255469
16,35,1131.0724479217297
12,13,1292.8561413318039
48,10,1716.1962491835686
42,27,5311.151679461661
21,45,2739.736351619203
29,35,1925.1318670297132
11,13,3670.61608498836
31,49,2437.846570422246
35,19,1011.999116344665
58,17,623.6692549310735
43,49,2878.1601844952356
2,35,2094.3678351985927
37,10,-767.9374507649316
24,18,1901.4955133895337
59,49,1708.6286398685643
22,49,1037.3639489961001
24,17,307.09337191458167
24,35,1257.6256465586762
21,27,4347.582550087608
58,27,3385.9372706736167
36,18,2089.646829758207
45,27,4223.817889858573
1,18,3367.672078676684
35,27,3022.7452705242517
43,19,2541.767568349029
24,19,891.8355283283397
50,49,2920.3058014186813
31,45,1038.2750160657924
60,45,1527.253300288999
36,13,1126.2433297869889
21,13,2746.1721219378605
16,45,1474.280681437494
2,17,2921.932090220589
58,27,3998.711033628085
51,46,1996.484490598671
59,49,1633.7783754549569
42,18,2224.782669636378
57,18,1172.2711636765066
48,35,1621.4030969252954
46,45,2501.359920490361
30,19,706.4572697607534
56,17,2570.442773571477
25,27,3108.4321427879577
20,13,1692.6632990218332
25,13,1113.3411156086154
18,49,3028.809340661941
45,17,71.3047416296015
12,35,2543.037192304043
19,10,-732.7160608402812
25,46,2586.4633118150623
17,46,1860.8524916615697
52,46,2651.0420724621395
54,17,2438.7619323605877
45,10,2356.760651294298
19,49,2005.8230525104714
39,27,5698.397509982935
23,49,1799.5771841641103
58,27,3089.0259487751655
28,13,1194.2664367209245
31,13,2312.1999553201344
57,18,2891.9792462758037
27,46,862.9574253607768
42,46,1846.463912613499
32,27,2802.1482637177137
34,13,3316.982067004292
29,49,2341.821844350108
46,18,2344.0499726080707
1,10,-664.7949974211162
15,27,5396.50266331397
17,27,3756.5072567153784
10,46,2236.4078278463594
26,27,4237.359502883564
2,49,1904.6468445861374
54,10,594.6248755647314
14,13,2072.83613159617
33,10,401.0186149898623
20,35,3667.696955890953
3,27,4458.479547678148
5,46,1756.4581413050137
41,27,2943.572869868894
29,10,894.6113105438078
59,17,978.6483619036533
46,10,248.82321120918937
9,13,439.07625788504106
6,45,616.0570766523599
15,35,2049.9518446248276
37,27,2230.409977243355
28,27,3763.3853456780234
28,27,4097.578787301061
38,17,879.9288905728738
34,27,2753.6764671109936
52,35,967.8845718018117
34,13,1105.7135519832686
23,18,2118.2527500941887
24,46,2509.631534808149
50,46,1041.0007528865049
49,35,2397.1537775033353
20,35,1761.7051654666202
19,27,3983.6439975902504
54,45,3114.722608178567
9,10,2411.9469493009556
57,18,2687.251958383032
10,49,2040.3231394404993
23,49,2139.733034655902
28,49,3534.1045129679287
51,13,2387.236054834691
45,19,108.67253603211816
18,27,4257.361355810008
29,13,1804.3474698025525
17,27,4494.232807454645
22,17,2034.3252625965915
22,17,98.1214759306306
1,13,2484.4077881071653
35,27,2195.4840983985328
33,46,2039.3522859677514
54,35,2604.8046346369983
9,13,1417.8571984025393
6,45,2419.3348643783793
49,49,1619.1828252359883
43,45,2666.3774650385826
5,17,3448.1743193104885
34,45,2998.81723321548
38,17,1025.18425054108
31,17,2460.097577954879
14,35,504.5298220680413
54,49,1613.7213961548423
42,27,3679.420049141544
8,17,963.5052059819852
59,13,1524.6840485794
22,35,2380.4265629157962
33,35,3432.9594814234297
60,27,4943.913009515842
52,46,3655.1591398238606
2,17,1801.775599366426
56,49,2036.1951178686218
57,35,2168.0426803617133
32,45,1463.5027280957243
30,27,3384.3363543210216
27,27,3155.577964648718
60,27,3476.2870504752827
43,49,4108.835242360155
55,35,1536.2445981654346
2,45,2981.450448259514
28,13,2736.456609667055
