Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
58,49,1648.2807574918677
14,17,1353.0142661525467
55,10,571.1387190856124
58,17,2546.966014712242
38,27,5847.626511678275
56,46,1930.2295277229548
48,18,731.6865278096031
48,27,2138.2955348345185
33,45,1520.8959023159498
36,17,3145.598179191207
44,17,1944.0456591343911
56,45,1360.2583390421385
54,19,570.6212719273022
11,49,2025.3792106699618
59,13,839.0605221695575
24,49,2527.070472244797
57,45,3114.354992509389
12,18,2932.1027964221707
42,27,2922.0688920673642
46,10,509.34924324375834
31,13,2840.4896619551578
31,35,3772.0450148198374
52,46,793.7243719882231
19,19,286.45261806939124
10,35,2903.3854724234525
22,10,563.1258655645498
19,35,774.7167101706773
6,46,2432.929373289368
27,46,3880.2979368385772
21,35,1954.3007896862357
42,19,131.10546305786946
51,18,3057.205677216983
6,18,603.5074113726778
31,27,5846.347860338657
59,17,2585.573092072965
3,27,5846.347860338657
49,27,2041.2610499354764
48,10,268.3924881356325
18,17,3043.0091804172635
43,27,2862.278031689761
54,18,2108.192766297525
19,10,268.6665290113548
54,17,2881.3477364124356
19,18,2496.713716881607
23,10,569.2105038666652
26,13,1754.3399350991403
14,10,131.10546305786946
41,35,3134.2024801762495
41,35,3944.59166952154
34,46,2049.819428491985
11,46,981.756836242307
3,13,1648.4354869223646
31,17,3046.0680905438307
20,17,2014.8478184934668
44,27,5220.7786348722175
2,49,3026.829275550769
9,13,2885.0434429458587
4,13,663.7138864408877
58,19,568.7841512689306
52,45,1380.1609496379576
12,35,2391.9664036676377
51,17,3778.7490715288495
42,27,2996.8042790981185
7,17,1544.191352764207
40,45,2535.9542506325147
35,27,2715.0967701701807
22,17,2577.717199347915
6,46,3967.881425416434
35,13,3095.9123172329355
42,45,3730.342757561408
6,49,2886.001528358495
37,27,2893.4420948012903
14,18,1963.5176387586346
49,49,3983.346648875662
6,45,3925.8786701214176
36,45,2880.0994650226144
21,19,281.0231022249268
53,46,2564.0563074499023
47,19,570.4511107892527
14,13,2405.4784589343394
24,35,2575.046086997311
21,18,1623.3285574411211
29,46,1550.973695096189
58,13,3149.8845760717722
27,17,2893.222947044727
56,35,1654.5570978648984
59,46,3983.8155298615557
23,46,3695.583829510744
49,45,767.4030487617091
3,10,571.5613430499386
39,45,2627.1912582908767
2,27,5846.347860338657
16,27,2890.4213122463925
35,18,1556.0978216348847
29,13,2025.2878053442826
27,46,793.9640961097031
57,17,2026.4928032625205
3,18,2347.043543901538
36,45,3148.2710603404184
5,13,1371.155524755164
39,18,2484.248344528767
60,17,1544.272476244912
25,17,2799.3140987617994
12,46,2054.0077254706302
1,19,506.98262871355786
43,27,5847.626511678275
13,19,569.7521500347821
22,49,875.2438578148962
3,27,1069.6540845715367
14,18,3851.777756431076
33,10,381.2752465151183
27,46,3102.6795606263668
38,10,159.04007385595915
28,27,5846.347860338657
27,35,1520.8959023159498
23,27,2887.1611680392643
28,46,980.584125551366
24,13,1454.1142155926607
2,35,1545.9669237496717
46,45,1906.3919832234114
60,27,4730.483158914224
6,17,584.8083300686848
16,35,1361.733301281324
60,49,1361.4415526150076
48,18,3556.213397566003
36,27,5200.072434857473
27,45,2026.9315100775684
23,18,595.1051676766032
14,18,1695.358104185229
14,13,1648.6796107108044
60,18,2873.7029441133236
21,13,1971.004610364398
42,35,1658.9764286586692
59,10,225.07033153822817
49,49,1313.5368795018253
28,19,367.5212909925687
22,18,597.3830901656627
60,49,1277.2828004196544
50,19,233.55776158795823
24,13,2499.116749284882
48,10,495.33634221226384
47,46,645.3978199774664
36,49,1546.8555428848076
6,35,2023.606599119962
52,35,1377.0480836616955
54,45,1989.8376573242138
31,35,2543.3190374651526
8,27,5234.5634731772225
7,17,1650.0348623528155
19,27,1257.6323963803306
46,49,1964.4627207450546
20,45,3879.417485189715
6,10,447.2660903032614
11,35,4074.623315184169
7,18,2391.8345329596036
23,13,2049.9650423284497
49,18,730.9214741046304
35,49,1084.0782810508238
39,45,1341.679463949626
39,49,913.0173928454615
4,17,2400.0982415531366
14,35,3029.0109824026135
8,13,3735.378681265393
20,46,3108.979058178657
40,49,1152.7487120021426
48,10,258.0953621798568
24,27,2554.5319474030753
44,49,2868.203002081328
48,45,2563.4407457909474
26,10,496.90893506836875
23,45,3091.763418893893
54,17,2613.9545943065787
14,10,243.31260260464455
60,10,131.10546305786946
24,17,2522.9754409595466
8,18,3547.8353432823515
12,27,2985.255810211014
39,27,4818.565834242782
12,27,993.7460351733076
60,27,5847.626511678275
9,35,1645.3608736167755
50,18,3071.018859217126
28,35,3892.79576591194
19,17,867.9853117027551
53,10,251.88475859654477
18,49,1727.0723131813966
32,35,3107.156984536369
11,13,3771.737362805316
59,49,3914.8065735785162
54,35,2812.9291319377617
44,46,1637.7090198593526
57,18,3786.3078743300757
24,46,2531.8583520900365
50,19,568.6245588033104
9,35,790.2063658357972
31,27,4123.555903557652
7,19,571.3165832923911
22,17,3099.4098285233117
56,46,2829.3465054666503
40,19,131.10546305786946
46,27,2936.929238882045
24,45,2067.70554414697
45,17,3133.2677464736066
26,45,2571.61877633965
56,18,1964.9722737147938
27,46,1976.8609472475673
20,49,3879.4239903043504
16,17,1321.0702883583342
3,35,2930.2397711166136
58,46,1938.351263852186
2,27,2930.4528276689657
55,19,131.10546305786946
3,18,3195.9773994099073
14,17,1443.4530389783915
45,13,3944.747768800128
7,17,2049.077530464144
51,19,249.22170983221287
52,27,5847.626511678275
26,46,2568.895152041266
42,46,3904.0187809894373
47,19,366.7808281110953
40,13,2082.655877165409
34,46,2803.75610399328
1,35,2813.2028734492797
55,45,1911.0929199407715
11,35,1361.1451845699025
35,18,3582.7421097326733
6,46,2453.8448104048657
9,19,571.4867444304407
53,17,1545.126485588268
45,13,4063.8311606187035
22,10,383.71587595016945
2,35,1517.9408864050963
21,45,1631.9022435029424
34,46,1198.7451240993855
59,49,1656.3797996501935
17,17,2061.3534651839304
54,46,1941.857136960766
17,19,569.4900313064486
35,17,2883.473228942841
8,10,131.10546305786946
7,17,3585.5669518148266
10,10,278.2855193343414
36,17,1647.1117564237136
21,10,240.80525782527909
19,17,1948.1108494832638
3,13,789.4959375459201
55,49,657.7681597898418
52,10,134.53865542933625
9,17,3931.5606474355177
43,45,3941.070931250098
9,10,416.7176140393143
40,19,200.14580898208433
58,17,1647.3614486008235
47,17,3818.3121055715947
41,35,1499.6548866924807
49,35,3993.9268990918513
52,27,4097.08649148425
13,46,1199.3151252666178
35,13,678.4870908631549
35,17,3131.4879323234504
18,49,2102.47148570678
33,18,2551.522954333688
15,27,4193.2322095340105
1,49,2978.320869708453
42,46,2815.267512700887
29,18,2836.836691823154
30,17,3048.9821029757522
46,49,1745.636860990737
58,27,4123.555903557652
33,17,3640.03029820507
7,45,1918.3817498822912
29,27,4013.9524674562153
42,13,2502.9769392363028
59,35,771.3589085345545
44,35,1294.5759473103274
45,49,2895.978856064924
31,45,1091.3057810300022
1,46,1949.224277638725
9,18,2024.9995602571666
3,27,2848.0032370128306
36,18,3084.612769044453
31,17,2533.6248967575743
14,49,2414.843921267854
28,27,5846.347860338657
14,49,4045.3623574129124
47,19,283.76679323940886
56,49,1382.0502725867889
1,13,1010.2647971011008
22,46,973.6342897090242
33,13,671.3866591068221
24,13,1958.0927772370271
38,46,1646.0817485387765
16,27,2349.6660465295035
7,27,4071.6617949477954
7,13,2932.4488762215306
48,45,2011.3635512597934
43,45,2659.7284828641805
31,10,362.5408956839528
49,18,598.7515703789941
30,10,571.1387190856124
60,17,3103.29422986228
19,46,3723.315339258111
12,35,1645.3443020074121
32,35,1437.5532555144925
27,35,2575.6899025599196
53,27,4252.081495804886
18,46,1562.0287790402137
10,13,2834.2973152920326
33,27,4193.2322095340105
12,13,1400.5328330057973
42,13,3713.303890456715
