Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
58,49,1690.2340862385322
14,17,1412.156205042017
55,10,584.7577647727273
58,17,2757.2599528301894
38,27,6280.890880000001
56,46,1796.0488656488553
48,18,711.0628208695651
48,27,2517.882088484848
33,45,1559.3429752688176
36,17,3364.883115789474
44,17,1796.0488656488553
56,45,1412.156205042017
54,19,584.7577647727273
11,49,2041.5211392857145
59,13,711.0628208695651
24,49,2418.929076666666
57,45,3016.342763302752
12,18,2934.863384693877
42,27,3242.0620715328487
46,10,482.69954262295084
31,13,2888.491010112361
31,35,3792.9563553191474
52,46,796.6660672268905
19,19,281.4820818181817
10,35,2782.957391869918
22,10,584.7577647727273
19,35,796.6660672268905
6,46,2413.9244799999997
27,46,4388.261859740255
21,35,2042.4213960000002
42,19,92.67548155339809
51,18,3016.342763302752
6,18,507.04640366972484
31,27,5329.314724444443
59,17,2418.929076666666
3,27,5329.314724444443
49,27,2517.882088484848
48,10,281.4820818181817
18,17,2934.863384693877
43,27,2517.882088484848
54,18,1752.2524399999998
19,10,281.4820818181817
54,17,2888.491010112361
19,18,2426.7572994285724
23,10,584.7577647727273
26,13,1511.8747716981134
14,10,165.91858165137614
41,35,3391.630973749998
41,35,4061.2135500000004
34,46,2041.5211392857145
11,46,935.0323883040941
3,13,1511.8747716981134
31,17,3391.630973749998
20,17,2137.2403798319315
44,27,5329.314724444443
2,49,2782.957391869918
9,13,2888.491010112361
4,13,507.04640366972484
58,19,584.7577647727273
52,45,1353.0650169014086
12,35,2163.9395193277314
51,17,3937.530195041321
42,27,3242.0620715328487
7,17,1559.3429752688176
40,45,2418.929076666666
35,27,2517.882088484848
22,17,2418.929076666666
6,46,3792.9563553191474
35,13,3391.630973749998
42,45,3636.3016195804203
6,49,2551.8435967479686
37,27,2517.882088484848
14,18,1752.2524399999998
49,49,3792.9563553191474
6,45,3792.9563553191474
36,45,2551.8435967479686
21,19,281.4820818181817
53,46,2981.598195620439
47,19,584.7577647727273
14,13,2163.9395193277314
24,35,2611.5511814814813
21,18,1372.6884907407411
29,46,1559.3429752688176
58,13,3364.883115789474
27,17,2888.491010112361
56,35,1784.4287381818176
59,46,4461.6665382113815
23,46,3636.3016195804203
49,45,796.6660672268905
3,10,584.7577647727273
39,45,2611.5511814814813
2,27,5329.314724444443
16,27,2517.882088484848
35,18,1372.6884907407411
29,13,1863.3331344827584
27,46,796.6660672268905
57,17,2235.5300279999988
3,18,2163.9395193277314
36,45,3364.883115789474
5,13,1240.3673076086955
39,18,2426.7572994285724
60,17,1559.3429752688176
25,17,2981.598195620439
12,46,2283.67104137931
1,19,482.69954262295084
43,27,6280.890880000001
13,19,584.7577647727273
22,49,796.6402682539685
3,27,1378.263185276074
14,18,3327.9525829268264
33,10,346.89728372093043
27,46,2934.863384693877
38,10,165.91858165137614
28,27,6280.890880000001
27,35,1559.3429752688176
23,27,2517.882088484848
28,46,935.0323883040941
24,13,1460.7407669724764
2,35,1559.3429752688176
46,45,1796.0488656488553
60,27,5329.314724444443
6,17,583.8145788617886
16,35,1412.156205042017
60,49,1412.156205042017
48,18,3327.9525829268264
36,27,5329.314724444443
27,45,2283.67104137931
23,18,507.04640366972484
14,18,1372.6884907407411
14,13,1690.2340862385322
60,18,2888.491010112361
21,13,2042.4213960000002
42,35,1879.0540499999997
59,10,219.21852093023256
49,49,1240.3673076086955
28,19,346.89728372093043
22,18,507.04640366972484
60,49,1240.3673076086955
50,19,219.21852093023256
24,13,2426.7572994285724
48,10,482.69954262295084
47,46,583.8145788617886
36,49,1559.3429752688176
6,35,1863.3331344827584
52,35,1353.0650169014086
54,45,1863.3331344827584
31,35,2418.929076666666
8,27,5329.314724444443
7,17,1690.2340862385322
19,27,1378.263185276074
46,49,1796.0488656488553
20,45,4388.261859740255
6,10,425.93559145299173
11,35,4388.261859740255
7,18,2413.9244799999997
23,13,2041.5211392857145
49,18,711.0628208695651
35,49,1103.1862133333334
39,45,1412.156205042017
39,49,796.6402682539685
4,17,2163.9395193277314
14,35,3391.630973749998
8,13,3636.3016195804203
20,46,3391.630973749998
40,49,1103.1862133333334
48,10,281.4820818181817
24,27,2517.882088484848
